Package ,	License	,Source of License Information,	Comments,	License/Copyright Links/References
libkeyutils1 , GPL-2.0 , WICC4D , True , NA
python-setuptools , Python-2.0 , WICC4D , True , NA
python-cffi-backend , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
python-dbus , ((MIT OR ISC OR MITNFA) AND GPL-2.0) , WICC4D , True , NA
ca-certificates , GPL-2.0 , WICC4D , True , NA
libkrb5-26-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
python-pip , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
dbus , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libroken18-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
python-idna , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
pkg-config , LGPL-2.0 , WICC4D , True , NA
libssl1.0.0 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libk5crypto3 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
python-cryptography , Apache-2.0 , WICC4D , True , NA
python-enum34 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
openssh-client , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libkrb5-3 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
memcached , AFL-3.0 , WICC4D , True , NA
libmagic1 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
mime-support , Public Domain , WICC4D , True , NA
dirmngr , GPL-3.0 , WICC4D , True , NA
manpages-dev , GPL-2.0 , WICC4D , True , NA
openssl , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libxext6 , ((MIT OR ISC OR MITNFA) AND GPL with exception) , WICC4D , True , NA
shared-mime-info , GPL-2.0 , WICC4D , True , NA
libdbus-1-3 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
python-pkg-resources , Python-2.0 , WICC4D , True , NA
gir1.2-glib-2.0 , LGPL-2.1 , WICC4D , True , NA
libldap-2.4-2 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
perl , Artistic-1.0 , WICC4D , True , NA
python-gi , LGPL-2.1 , WICC4D , True , NA
libwind0-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libheimntlm0-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libgssapi-krb5-2 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libapparmor1 , GPLv2 , WICC4D , True , NA
libxml2 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
python-memcache , Python-2.0 , WICC4D , True , NA
python-ipaddress , Python-2.0 , WICC4D , True , NA
libfakeroot , GPL-2.0 , WICC4D , True , NA
file , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libkrb5support0 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
python-six , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libasn1-8-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libgirepository-1.0-1 , LGPL-2.1 , WICC4D , True , NA
dpkg-dev , GPL-3.0 , WICC4D , True , NA
libc-dev-bin , LGPL , WICC4D , True , NA
python-ldappool , MPL-1.1 , WICC4D , True , NA
python-keyring , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libc6-dev , LGPL , WICC4D , True , NA
manpages , GPL-2.0 , WICC4D , True , NA
krb5-locales , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libheimbase1-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libhx509-5-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
python-wheel , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
python-crypto , Public Domain , WICC4D , True , NA
less , BSD Equivalent  , WICC4D , True , NA
libmnl0 , LGPL-2.1 , WICC4D , True , NA
libroken18-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
git-man , GPL-2.0 , WICC4D , True , NA
libgssapi3-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libxau6 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libxext6 , ((MIT OR ISC OR MITNFA) AND GPL with exception) , WICC4D , True , NA
libkeyutils1 , GPL-2.0 , WICC4D , True , NA
ca-certificates , GPL-2.0 , WICC4D , True , NA
libkrb5-26-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libpopt0 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
patch , GPL-3.0 , WICC4D , True , NA
libk5crypto3 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libidn11 , GPL-3.0 , WICC4D , True , NA
rsync , GPL-3.0 , WICC4D , True , NA
openssh-client , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libxtables11 , GPL-2.0 , WICC4D , True , NA
g++ , GPL-2.0 , WICC4D , True , NA
libkrb5-3 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libedit2 , ((BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) AND GPL-2.0) , WICC4D , True , NA
manpages-dev , GPL-2.0 , WICC4D , True , NA
openssl , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libp11-kit0 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
binutils , GPL-3.0 , WICC4D , True , NA
libbsd0 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libxcb1 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libssl1.0.0 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libhcrypto4-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
librtmp1 , GPL-2.0 , WICC4D , True , NA
libxmuu1 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
perl , Artistic-1.0 , WICC4D , True , NA
libperl5.22 , Artistic-1.0 , WICC4D , True , NA
git , GPL-2.0 , WICC4D , True , NA
libldap-2.4-2 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libffi6 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
iproute2 , GPL-2.0 , WICC4D , True , NA
libgmp10 , LGPL-3.0 , WICC4D , True , NA
libheimntlm0-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libgssapi-krb5-2 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libcurl3-gnutls , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libisl15 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libxdmcp6 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libtasn1-6 , GPL-3.0 , WICC4D , True , NA
libx11-data , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libwind0-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libfakeroot , GPL-2.0 , WICC4D , True , NA
libkrb5support0 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
bzip2 , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libasn1-8-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
libgnutls30 , LGPL-2.1 , WICC4D , True , NA
libgdbm3 , GPL-3.0 , WICC4D , True , NA
dpkg-dev , GPL-3.0 , WICC4D , True , NA
libx11-6 , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libnettle6 , LGPL-3.0 , WICC4D , True , NA
libc-dev-bin , LGPL , WICC4D , True , NA
libdpkg-perl , GPL-3.0 , WICC4D , True , NA
gcc , GPL-2.0 , WICC4D , True , NA
libc6-dev , LGPL , WICC4D , True , NA
manpages , GPL-2.0 , WICC4D , True , NA
krb5-locales , (MIT OR ISC OR MITNFA) , WICC4D , True , NA
libhogweed4 , LGPL-3.0 , WICC4D , True , NA
libheimbase1-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
perl-modules-5.22 , Artistic-1.0 , WICC4D , True , NA
fakeroot , GPL-2.0 , WICC4D , True , NA
libhx509-5-heimdal , (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) , WICC4D , True , NA
cpp , GPL-2.0 , WICC4D , True , NA
ace,ACE/TAO/CIAOLicense,openhub.net,NA,https://www.openhub.net/p/ace
ifupdown,GNU General Public License v2.0 or later,openhub.net,NA,https://www.openhub.net/p/ifupdown
activemq , Apache-2.0 , WICC4D , True , NA
python-keyrings.alt  , Expat , Copyright_File     ,  Expat(*,debian/*), ,  NA 
python-pyasn1  , GPL-2+,BSD-2-clause , Copyright_File     ,  GPL-2+(debian/*),BSD-2-clause(*), ,  NA 
python-secretstorage  , BSD-3-clause , Copyright_File     ,  BSD-3-clause(*), ,  NA 
iniparser,MIT License,openhub.net,NA,https://www.openhub.net/p/iniparser
libuv,MIT License,openhub.net,NA,https://www.openhub.net/p/libuv
async,BSD 4-clause (University of California-Specific),openhub.net,NA,https://www.openhub.net/p/async
pyramid_chameleon,BSD Modification Variant,openhub.net,NA,https://www.openhub.net/p/pyramid_chameleon
libsasl2-dev  , GPL-3+,BSD-4-clause , Copyright_File     ,  BSD-4-clause(*),GPL-3+(debian/*,debian/saslfinger/*,debian/gen-auth/*), ,  NA 
python-pyldap  , PSF-License , Copyright_File     ,  PSF-License(*,debian/*), ,  NA 
freetds-bin  , GFDL-NIV-1.1+,LGPL-2+ , Copyright_File     ,  LGPL-2+(*,debian/*),GFDL-NIV-1.1+(doc/userguide*), ,  NA 
freetds-common  , GFDL-NIV-1.1+,LGPL-2+ , Copyright_File     ,  LGPL-2+(*,debian/*),GFDL-NIV-1.1+(doc/userguide*), ,  NA 
freetds-dev  , GFDL-NIV-1.1+,LGPL-2+ , Copyright_File     ,  LGPL-2+(*,debian/*),GFDL-NIV-1.1+(doc/userguide*), ,  NA 
libct4  , GFDL-NIV-1.1+,LGPL-2+ , Copyright_File     ,  LGPL-2+(*,debian/*),GFDL-NIV-1.1+(doc/userguide*), ,  NA 
libsybdb5  , GFDL-NIV-1.1+,LGPL-2+ , Copyright_File     ,  LGPL-2+(*,debian/*),GFDL-NIV-1.1+(doc/userguide*), ,  NA 
docutils-doc  , GPL-3+,Python-2.1.1,BSD-3-clause and BSD-2-clause,BSD-2-clause,LGPL-2.1+,public-domain , Copyright_File     ,  public-domain(*),GPL-3+(tools/editors/emacs/rst.el),Python-2.1.1(docutils/utils/roman.py),LGPL-2.1+(docutils/writers/s5_html/themes/default/iepngfix.htc),BSD-3-clauseandBSD-2-clause(docutils/utils/smartquotes.py),BSD-2-clause(docutils/utils/math/__init__.py,docutils/utils/math/latex2mathml.py,docutils/writers/xetex/__init__.py,docutils/writers/latex2e/docutils-05-compat.sty,docs/user/docutils-05-compat.sty.txt)"More_than_5_Files_for_this_license", ,  NA 
libann0  , GPL-3.0+,LGPL-2.1+ , Copyright_File     ,  GPL-3.0+(debian/*),LGPL-2.1+(*), ,  NA 
python-pygments  , Apache-2.0 and BSD-2-clause , Copyright_File     ,   ,  NA 
pyclaw,BSD 4-clause (University of California-Specific),openhub.net,NA,https://www.openhub.net/p/pyclaw
libgdbm-compat4  , GFDL-1.3+,GPL-3+ , Copyright_File     ,  GPL-3+(*,git2chg.awk,debian/*),GFDL-1.3+(doc/*), ,  NA 
libgdbm5  , GFDL-1.3+,GPL-3+ , Copyright_File     ,  GPL-3+(*,git2chg.awk,debian/*),GFDL-1.3+(doc/*), ,  NA 
libmagic-mgc  , MIT-Old-Style-with-legal-disclaimer-2,BSD-2-Clause-regents,BSD-2-Clause-netbsd,public-domain,BSD-2-Clause-alike , Copyright_File     ,  BSD-2-Clause-alike(*,src/apprentice.c,src/ascmagic.c,src/asprintf.c,src/compress.c)"More_than_5_Files_for_this_license",public-domain(src/apptype.c),MIT-Old-Style-with-legal-disclaimer-2(src/strlcat.c,src/strlcpy.c),BSD-2-Clause-regents(src/strcasestr.c),BSD-2-Clause-netbsd(src/cdf.c,src/cdf_time.c,src/der.c,src/der.h,src/readcdf.c)"More_than_5_Files_for_this_license", ,  NA 
libperl5.26  , HSIEH-BSD,HSIEH-DERIVATIVE,Artistic-2,LGPL-2.1,Artistic or GPL-1+ or Artistic-dist,GPL-1+ or Artistic or Artistic-dist,DONT-CHANGE-THE-GPL,SDBM-PUBLIC-DOMAIN,Artistic/GPL,GPL-1+ or Artistic, and BSD-3-clause-GENERIC,GPL-1+ or Artistic, and BSD-4-clause-POWERDOG,TEXT-TABS,CC0-1.0,BSD-3-clause-with-weird-numbering,RRA-KEEP-THIS-NOTICE,Expat or GPL-1+ or Artistic,GPL-2+ or Artistic,ZLIB,BZIP,S2P,GPL-1+ or Artistic, and Unicode,Unicode,GPL-3+-WITH-BISON-EXCEPTION,REGCOMP, and GPL-1+ or Artistic,Expat,GPL-1+ or Artistic , Copyright_File     ,  Artistic-dist(regen-configure/dist/*),Expat(time64.c,cpan/podlators/t/docs/pod-spelling.t,cpan/podlators/t/docs/pod.t,cpan/podlators/t/docs/synopsis.t,cpan/podlators/t/lib/Test/RRA.pm)"More_than_5_Files_for_this_license",Artistic(cpan/Encode/bin/encguess,ext/File-Glob/*,ext/Pod-Html/*),GPL-1+orArtistic(*,perlio.c,malloc.c,pp_sort.c,mro.c)"More_than_5_Files_for_this_license",SDBM-PUBLIC-DOMAIN(ext/SDBM_File/sdbm/*),GPL-1+orArtistic,andBSD-4-clause-POWERDOG(cpan/Time-Piece/Piece.xs),Unicode(lib/unicore/*.txt,cpan/Unicode-Collate/Collate/allkeys.txt),GPL-2+orArtistic(cpan/Getopt-Long/*,cpan/Tie-File/*),GPL-3+-WITH-BISON-EXCEPTION(perly.h),ExpatorGPL-1+orArtistic(cpan/Locale-Maketext-Simple/*,cpan/Locale-Maketext-Simple/t/po_with_i_default/i_default.po,cpan/Locale-Maketext-Simple/t/po_with_i_default/fr.po,cpan/Locale-Maketext-Simple/t/po_with_i_default/en.po,cpan/Locale-Maketext-Simple/t/po_without_i_default/en.po)"More_than_5_Files_for_this_license",S2P(x2p/s2p.PL),BSD-3-clause-with-weird-numbering(cpan/Sys-Syslog/fallback/syslog.h),GPL-1+orArtisticorArtistic-dist(regen-configure/*),REGCOMP,andGPL-1+orArtistic(regcomp.c,regexec.c),TEXT-TABS(cpan/Text-Tabs/*),ArtisticorGPL-1+orArtistic-dist(regen-configure/U/*),ZLIB(cpan/Compress-Raw-Zlib/zlib-src/*),RRA-KEEP-THIS-NOTICE(cpan/podlators/t/data/snippets/README,pod/perlpodstyle.pod),CC0-1.0(cpan/Test-Simple/lib/Test/use/ok.pm,cpan/Test-Simple/lib/ok.pm),BZIP(cpan/Compress-Raw-Bzip2/bzip2-src/*),DONT-CHANGE-THE-GPL(Copying,pod/perlgpl.pod),BSD-3-clause(ext/File-Glob/bsd_glob.c,ext/File-Glob/bsd_glob.h),GPL-1+orArtistic,andBSD-3-clause-GENERIC(dist/PathTools/Cwd.xs),GPL-1+orArtistic,andUnicode(t/op/split_unicode.t), ,  NA 
libpq-dev  , rijndael,imath,BSD-2-clause,BSD-3-clause,blf,nagaysau-ishii,double-metaphone,Custom-Unicode,Custom-pg_dump,Tcl,Custom-regex,PostgreSQL , Copyright_File     ,  imath(contrib/pgcrypto/imath.*),blf(contrib/pgcrypto/blf.*),Custom-pg_dump(src/bin/pg_dump/*),Tcl(src/backend/regex/regc_locale.c,src/backend/regex/re_syntax.n),double-metaphone(contrib/fuzzystrmatch/dmetaphone.c),rijndael(contrib/pgcrypto/rijndael.*),Custom-Unicode(src/backend/utils/mb/Unicode/*.txt),PostgreSQL(*),nagaysau-ishii(contrib/pageinspect/btreefuncs.c,contrib/pgrowlocks/*,contrib/pgstattuple/*),Custom-regex(src/backend/regex/*),BSD-2-clause(contrib/pgcrypto/fortuna.*,contrib/pgcrypto/internal*,contrib/pgcrypto/mbuf.*,contrib/pgcrypto/openssl.c,contrib/pgcrypto/pgcrypto.*)"More_than_5_Files_for_this_license",BSD-3-clause(contrib/pgcrypto/crypt-des.c,contrib/pgcrypto/md5.*,contrib/pgcrypto/sha1.*,contrib/pgcrypto/sha2.*), ,  NA 
perl-modules-5.26  , HSIEH-BSD,HSIEH-DERIVATIVE,Artistic-2,LGPL-2.1,Artistic or GPL-1+ or Artistic-dist,GPL-1+ or Artistic or Artistic-dist,DONT-CHANGE-THE-GPL,SDBM-PUBLIC-DOMAIN,Artistic/GPL,GPL-1+ or Artistic, and BSD-3-clause-GENERIC,GPL-1+ or Artistic, and BSD-4-clause-POWERDOG,TEXT-TABS,CC0-1.0,BSD-3-clause-with-weird-numbering,RRA-KEEP-THIS-NOTICE,Expat or GPL-1+ or Artistic,GPL-2+ or Artistic,ZLIB,BZIP,S2P,GPL-1+ or Artistic, and Unicode,Unicode,GPL-3+-WITH-BISON-EXCEPTION,REGCOMP, and GPL-1+ or Artistic,Expat,GPL-1+ or Artistic , Copyright_File     ,  Artistic-dist(regen-configure/dist/*),Expat(time64.c,cpan/podlators/t/docs/pod-spelling.t,cpan/podlators/t/docs/pod.t,cpan/podlators/t/docs/synopsis.t,cpan/podlators/t/lib/Test/RRA.pm)"More_than_5_Files_for_this_license",Artistic(cpan/Encode/bin/encguess,ext/File-Glob/*,ext/Pod-Html/*),GPL-1+orArtistic(*,perlio.c,malloc.c,pp_sort.c,mro.c)"More_than_5_Files_for_this_license",SDBM-PUBLIC-DOMAIN(ext/SDBM_File/sdbm/*),GPL-1+orArtistic,andBSD-4-clause-POWERDOG(cpan/Time-Piece/Piece.xs),Unicode(lib/unicore/*.txt,cpan/Unicode-Collate/Collate/allkeys.txt),GPL-2+orArtistic(cpan/Getopt-Long/*,cpan/Tie-File/*),GPL-3+-WITH-BISON-EXCEPTION(perly.h),ExpatorGPL-1+orArtistic(cpan/Locale-Maketext-Simple/*,cpan/Locale-Maketext-Simple/t/po_with_i_default/i_default.po,cpan/Locale-Maketext-Simple/t/po_with_i_default/fr.po,cpan/Locale-Maketext-Simple/t/po_with_i_default/en.po,cpan/Locale-Maketext-Simple/t/po_without_i_default/en.po)"More_than_5_Files_for_this_license",S2P(x2p/s2p.PL),BSD-3-clause-with-weird-numbering(cpan/Sys-Syslog/fallback/syslog.h),GPL-1+orArtisticorArtistic-dist(regen-configure/*),REGCOMP,andGPL-1+orArtistic(regcomp.c,regexec.c),TEXT-TABS(cpan/Text-Tabs/*),ArtisticorGPL-1+orArtistic-dist(regen-configure/U/*),ZLIB(cpan/Compress-Raw-Zlib/zlib-src/*),RRA-KEEP-THIS-NOTICE(cpan/podlators/t/data/snippets/README,pod/perlpodstyle.pod),CC0-1.0(cpan/Test-Simple/lib/Test/use/ok.pm,cpan/Test-Simple/lib/ok.pm),BZIP(cpan/Compress-Raw-Bzip2/bzip2-src/*),DONT-CHANGE-THE-GPL(Copying,pod/perlgpl.pod),BSD-3-clause(ext/File-Glob/bsd_glob.c,ext/File-Glob/bsd_glob.h),GPL-1+orArtistic,andBSD-3-clause-GENERIC(dist/PathTools/Cwd.xs),GPL-1+orArtistic,andUnicode(t/op/split_unicode.t), ,  NA 
python-asn1crypto  , Expat , Copyright_File     ,  Expat(*,asn1crypto/_ordereddict.py,asn1crypto/_elliptic_curve.py,debian/*), ,  NA 
python-pyasn1-modules  , BSD-3-Clause,BSD-2-Clause , Copyright_File     ,  BSD-2-Clause(*),BSD-3-Clause(debian/*), ,  NA 
gnupg-l10n  , TinySCHEME,RFC-Reference,LGPL-3+,GPL-3+ or BSD-3-clause,Expat,LGPL-2.1+,permissive,GPL-3+ , Copyright_File     ,  Expat(dirmngr/dns.c,dirmngr/dns.h),LGPL-3+(tools/rfc822parse.c,tools/rfc822parse.h),GPL-3+(*,agent/command.c,agent/command-ssh.c,agent/gpg-agent.c,common/homedir.c)"More_than_5_Files_for_this_license",TinySCHEME(tests/gpgscm/*),LGPL-2.1+(common/localename.c),permissive(autogen.sh,common/gc-opt-flags.h,common/i18n.h,tools/clean-sat.c,tools/no-libgcrypt.c),GPL-3+orBSD-3-clause(scd/ccid-driver.h,scd/ccid-driver.c),RFC-Reference(doc/OpenPGP), ,  NA 
gnupg-utils  , TinySCHEME,RFC-Reference,LGPL-3+,GPL-3+ or BSD-3-clause,Expat,LGPL-2.1+,permissive,GPL-3+ , Copyright_File     ,  Expat(dirmngr/dns.c,dirmngr/dns.h),LGPL-3+(tools/rfc822parse.c,tools/rfc822parse.h),GPL-3+(*,agent/command.c,agent/command-ssh.c,agent/gpg-agent.c,common/homedir.c)"More_than_5_Files_for_this_license",TinySCHEME(tests/gpgscm/*),LGPL-2.1+(common/localename.c),permissive(autogen.sh,common/gc-opt-flags.h,common/i18n.h,tools/clean-sat.c,tools/no-libgcrypt.c),GPL-3+orBSD-3-clause(scd/ccid-driver.h,scd/ccid-driver.c),RFC-Reference(doc/OpenPGP), ,  NA 
gpg  , TinySCHEME,RFC-Reference,LGPL-3+,GPL-3+ or BSD-3-clause,Expat,LGPL-2.1+,permissive,GPL-3+ , Copyright_File     ,  Expat(dirmngr/dns.c,dirmngr/dns.h),LGPL-3+(tools/rfc822parse.c,tools/rfc822parse.h),GPL-3+(*,agent/command.c,agent/command-ssh.c,agent/gpg-agent.c,common/homedir.c)"More_than_5_Files_for_this_license",TinySCHEME(tests/gpgscm/*),LGPL-2.1+(common/localename.c),permissive(autogen.sh,common/gc-opt-flags.h,common/i18n.h,tools/clean-sat.c,tools/no-libgcrypt.c),GPL-3+orBSD-3-clause(scd/ccid-driver.h,scd/ccid-driver.c),RFC-Reference(doc/OpenPGP), ,  NA 
gpg-agent  , TinySCHEME,RFC-Reference,LGPL-3+,GPL-3+ or BSD-3-clause,Expat,LGPL-2.1+,permissive,GPL-3+ , Copyright_File     ,  Expat(dirmngr/dns.c,dirmngr/dns.h),LGPL-3+(tools/rfc822parse.c,tools/rfc822parse.h),GPL-3+(*,agent/command.c,agent/command-ssh.c,agent/gpg-agent.c,common/homedir.c)"More_than_5_Files_for_this_license",TinySCHEME(tests/gpgscm/*),LGPL-2.1+(common/localename.c),permissive(autogen.sh,common/gc-opt-flags.h,common/i18n.h,tools/clean-sat.c,tools/no-libgcrypt.c),GPL-3+orBSD-3-clause(scd/ccid-driver.h,scd/ccid-driver.c),RFC-Reference(doc/OpenPGP), ,  NA 
gpg-wks-client  , TinySCHEME,RFC-Reference,LGPL-3+,GPL-3+ or BSD-3-clause,Expat,LGPL-2.1+,permissive,GPL-3+ , Copyright_File     ,  Expat(dirmngr/dns.c,dirmngr/dns.h),LGPL-3+(tools/rfc822parse.c,tools/rfc822parse.h),GPL-3+(*,agent/command.c,agent/command-ssh.c,agent/gpg-agent.c,common/homedir.c)"More_than_5_Files_for_this_license",TinySCHEME(tests/gpgscm/*),LGPL-2.1+(common/localename.c),permissive(autogen.sh,common/gc-opt-flags.h,common/i18n.h,tools/clean-sat.c,tools/no-libgcrypt.c),GPL-3+orBSD-3-clause(scd/ccid-driver.h,scd/ccid-driver.c),RFC-Reference(doc/OpenPGP), ,  NA 
gpg-wks-server  , TinySCHEME,RFC-Reference,LGPL-3+,GPL-3+ or BSD-3-clause,Expat,LGPL-2.1+,permissive,GPL-3+ , Copyright_File     ,  Expat(dirmngr/dns.c,dirmngr/dns.h),LGPL-3+(tools/rfc822parse.c,tools/rfc822parse.h),GPL-3+(*,agent/command.c,agent/command-ssh.c,agent/gpg-agent.c,common/homedir.c)"More_than_5_Files_for_this_license",TinySCHEME(tests/gpgscm/*),LGPL-2.1+(common/localename.c),permissive(autogen.sh,common/gc-opt-flags.h,common/i18n.h,tools/clean-sat.c,tools/no-libgcrypt.c),GPL-3+orBSD-3-clause(scd/ccid-driver.h,scd/ccid-driver.c),RFC-Reference(doc/OpenPGP), ,  NA 
gpgconf  , TinySCHEME,RFC-Reference,LGPL-3+,GPL-3+ or BSD-3-clause,Expat,LGPL-2.1+,permissive,GPL-3+ , Copyright_File     ,  Expat(dirmngr/dns.c,dirmngr/dns.h),LGPL-3+(tools/rfc822parse.c,tools/rfc822parse.h),GPL-3+(*,agent/command.c,agent/command-ssh.c,agent/gpg-agent.c,common/homedir.c)"More_than_5_Files_for_this_license",TinySCHEME(tests/gpgscm/*),LGPL-2.1+(common/localename.c),permissive(autogen.sh,common/gc-opt-flags.h,common/i18n.h,tools/clean-sat.c,tools/no-libgcrypt.c),GPL-3+orBSD-3-clause(scd/ccid-driver.h,scd/ccid-driver.c),RFC-Reference(doc/OpenPGP), ,  NA 
gpgsm  , TinySCHEME,RFC-Reference,LGPL-3+,GPL-3+ or BSD-3-clause,Expat,LGPL-2.1+,permissive,GPL-3+ , Copyright_File     ,  Expat(dirmngr/dns.c,dirmngr/dns.h),LGPL-3+(tools/rfc822parse.c,tools/rfc822parse.h),GPL-3+(*,agent/command.c,agent/command-ssh.c,agent/gpg-agent.c,common/homedir.c)"More_than_5_Files_for_this_license",TinySCHEME(tests/gpgscm/*),LGPL-2.1+(common/localename.c),permissive(autogen.sh,common/gc-opt-flags.h,common/i18n.h,tools/clean-sat.c,tools/no-libgcrypt.c),GPL-3+orBSD-3-clause(scd/ccid-driver.h,scd/ccid-driver.c),RFC-Reference(doc/OpenPGP), ,  NA 
libassuan0  , GPL-2+ with libtool exception,LGPL-3+,GAP~FSF,LGPL-2.1+ , Copyright_File     ,  LGPL-3+(doc/Makefile.am,doc/Makefile.in,src/gpgcedev.c,src/gpgcedev.def,src/gpgcemgr.c)"More_than_5_Files_for_this_license",GPL-2+(m4/autobuild.m4),GPL-3+(build-aux/config.guess,build-aux/config.sub,doc/assuan.info,doc/assuan.texi),LGPL-2.1+(*,Makefile.am,src/Makefile.am,src/assuan-buffer.c,src/assuan-error.c)"More_than_5_Files_for_this_license",GAP~FSF(AUTHORS,aclocal.m4,build-aux/git-log-footer,configure,INSTALL)"More_than_5_Files_for_this_license",GAP(autogen.sh,m4/gpg-error.m4,src/versioninfo.rc.in),GPL-2+withlibtoolexception(build-aux/compile,build-aux/ltmain.sh,m4/libtool.m4,build-aux/missing), ,  NA 
libisl19  , LGPL-2.1+,BSD-2-clause,MIT , Copyright_File     ,  (doc/chicago.bst,imath/imath.*,imath/gmp_compat.*),LGPL-2.1+(isl_qsort.c,debian/*),MIT(*),BSD-2-clause(interface/python.*), ,  NA 
liblocale-gettext-perl  , Artistic or GPL-1+ , Copyright_File     ,  ArtisticorGPL-1+(*,debian/*), ,  NA 
libnpth0  , LGPL-2.1+ , Copyright_File     ,  LGPL-2.1+(*,debian/*), ,  NA 
pinentry-curses  , LGPL-3+ or GPL-2+,X11,GPL-2+ , Copyright_File     ,  LGPL-3+orGPL-2+(pinentry/argparse.c),GPL-2(tqt/secqinternal.cpp,tqt/secqlineedit.cpp),GPL-2+(*,fltk/*,tqt/Makefile.am,build-aux/*,gtk+-2/pinentry-gtk-2.c)"More_than_5_Files_for_this_license",X11(install-sh), ,  NA 
default-libmysqlclient-dev  , GPL-2+ , Copyright_File     ,  GPL-2+(debian/*,doc/*), ,  NA 
